Doctor,,
Donalbain, Son of Duncan,
Duncan, King of Scotland,
First Apparition,,
First Murderer,,
First Witch,,
Fleance, Son to Banquo,
Gentlewoman,,
Hecate,,
Lady Macbeth,,
Lady Macduff,,
Lennox, Nobleman of Scotland,
Lord,,
Lords,,
Macbeth, General of the King's army,
Macduff, Nobleman of Scotland,
Malcolm, Son of Duncan,
Menteith, Nobleman of Scotland,
Messenger,,
Old Man,,
Porter,,
Ross, Nobleman of Scotland,
Second Apparition,,
Second Murderer,,
Second Witch,,
Sergeant,,
Servant,,
Seyton, An officer attending on Macduff,
Siward," ""Earl of Northumberland\"," general of English forces"""
Soldiers,,
Son, Macduff's son,
Third Apparition,,
Third Murderer,,
Third Witch,,
Young Siward, Siward's son,
,,
Othello (1604),,
,,
Bianca, Mistress to Cassio,
Brabantio, A senator of Venice,
Cassio, Othello's lieutenant,
Clown, Servant to Othello,
Desdemona, Daughter to Brabantio and wife to Othello,
Duke of Venice,,
Emilia, Wife to Iago,
First Gentleman,,
First Musician,,
First Officer,,
First Senator, A senator of Venice,
Fourth Gentleman,,
Gentleman,,
Gratiano, Brother to Brabantio,
Herald,,
Iago, Othello's ancient (?),
Lodovico, Kinsman to Brabantio,
Messenger,,
Montano, Othello's predecessor in the government of Cyprus,
Othello, A noble Moor in the service of the Ventian state,
Roderigo, A Venetian gentleman,
Sailor,,
Second Gentleman,,
Second Senator, A senator of Venice,
Third Gentleman,,
